study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_aspera	cram_index_galaxy	sample_title
PRJNA418486	SAMN08028534	SRS2689246	SRX3395061	SRR6293958	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/008/SRR6293958/SRR6293958_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/008/SRR6293958/SRR6293958_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/008/SRR6293958/SRR6293958_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/008/SRR6293958/SRR6293958_2.fastq.gz		Forebrain_Ent_rep2
PRJNA418486	SAMN08028533	SRS2689247	SRX3395062	SRR6293959	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/009/SRR6293959/SRR6293959_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/009/SRR6293959/SRR6293959_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/009/SRR6293959/SRR6293959_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/009/SRR6293959/SRR6293959_2.fastq.gz		Forebrain_Ar_rep5
PRJNA418486	SAMN08028532	SRS2689248	SRX3395063	SRR6293960	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/000/SRR6293960/SRR6293960_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/000/SRR6293960/SRR6293960_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/000/SRR6293960/SRR6293960_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/000/SRR6293960/SRR6293960_2.fastq.gz		Forebrain_Ent_rep3
PRJNA418486	SAMN08028525	SRS2689249	SRX3395064	SRR6293961	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/001/SRR6293961/SRR6293961_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/001/SRR6293961/SRR6293961_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/001/SRR6293961/SRR6293961_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/001/SRR6293961/SRR6293961_2.fastq.gz		Forebrain_Ent_rep4
PRJNA418486	SAMN08028524	SRS2689250	SRX3395065	SRR6293962	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/002/SRR6293962/SRR6293962_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/002/SRR6293962/SRR6293962_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/002/SRR6293962/SRR6293962_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/002/SRR6293962/SRR6293962_2.fastq.gz		Forebrain_LT_rep1
PRJNA418486	SAMN08028527	SRS2689251	SRX3395066	SRR6293963	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/003/SRR6293963/SRR6293963_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/003/SRR6293963/SRR6293963_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/003/SRR6293963/SRR6293963_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/003/SRR6293963/SRR6293963_2.fastq.gz		Forebrain_Ent_rep5
PRJNA418486	SAMN08028526	SRS2689252	SRX3395067	SRR6293964	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/004/SRR6293964/SRR6293964_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/004/SRR6293964/SRR6293964_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/004/SRR6293964/SRR6293964_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/004/SRR6293964/SRR6293964_2.fastq.gz		Forebrain_LT_rep2
PRJNA418486	SAMN08028529	SRS2689253	SRX3395068	SRR6293965	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/005/SRR6293965/SRR6293965_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/005/SRR6293965/SRR6293965_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/005/SRR6293965/SRR6293965_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/005/SRR6293965/SRR6293965_2.fastq.gz		Forebrain_LT_rep3
PRJNA418486	SAMN08028528	SRS2689254	SRX3395069	SRR6293966	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/006/SRR6293966/SRR6293966_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/006/SRR6293966/SRR6293966_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/006/SRR6293966/SRR6293966_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/006/SRR6293966/SRR6293966_2.fastq.gz		Forebrain_IBA_rep1
PRJNA418486	SAMN08028523	SRS2689255	SRX3395070	SRR6293967	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/007/SRR6293967/SRR6293967_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/007/SRR6293967/SRR6293967_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/007/SRR6293967/SRR6293967_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/007/SRR6293967/SRR6293967_2.fastq.gz		Forebrain_IBA_rep2
PRJNA418486	SAMN08028522	SRS2689256	SRX3395071	SRR6293968	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/008/SRR6293968/SRR6293968_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/008/SRR6293968/SRR6293968_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/008/SRR6293968/SRR6293968_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/008/SRR6293968/SRR6293968_2.fastq.gz		Forebrain_LT_rep4
PRJNA418486	SAMN08028521	SRS2689257	SRX3395072	SRR6293969	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/009/SRR6293969/SRR6293969_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/009/SRR6293969/SRR6293969_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/009/SRR6293969/SRR6293969_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/009/SRR6293969/SRR6293969_2.fastq.gz		Forebrain_LT_rep5
PRJNA418486	SAMN08028520	SRS2689258	SRX3395073	SRR6293970	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/000/SRR6293970/SRR6293970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/000/SRR6293970/SRR6293970_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/000/SRR6293970/SRR6293970_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/000/SRR6293970/SRR6293970_2.fastq.gz		Forebrain_SpD_rep1
PRJNA418486	SAMN08028519	SRS2689259	SRX3395074	SRR6293971	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/001/SRR6293971/SRR6293971_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/001/SRR6293971/SRR6293971_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/001/SRR6293971/SRR6293971_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/001/SRR6293971/SRR6293971_2.fastq.gz		Forebrain_IBA_rep3
PRJNA418486	SAMN08028518	SRS2689260	SRX3395075	SRR6293972	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/002/SRR6293972/SRR6293972_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/002/SRR6293972/SRR6293972_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/002/SRR6293972/SRR6293972_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/002/SRR6293972/SRR6293972_2.fastq.gz		Forebrain_SpD_rep2
PRJNA418486	SAMN08028517	SRS2689261	SRX3395076	SRR6293973	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/003/SRR6293973/SRR6293973_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/003/SRR6293973/SRR6293973_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/003/SRR6293973/SRR6293973_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/003/SRR6293973/SRR6293973_2.fastq.gz		Forebrain_SpD_rep3
PRJNA418486	SAMN08028516	SRS2689262	SRX3395077	SRR6293974	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/004/SRR6293974/SRR6293974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/004/SRR6293974/SRR6293974_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/004/SRR6293974/SRR6293974_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/004/SRR6293974/SRR6293974_2.fastq.gz		Forebrain_SpD_rep4
PRJNA418486	SAMN08028515	SRS2689263	SRX3395078	SRR6293975	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/005/SRR6293975/SRR6293975_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/005/SRR6293975/SRR6293975_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/005/SRR6293975/SRR6293975_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/005/SRR6293975/SRR6293975_2.fastq.gz		Forebrain_SpD_rep5
PRJNA418486	SAMN08028514	SRS2689264	SRX3395079	SRR6293976	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/006/SRR6293976/SRR6293976_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/006/SRR6293976/SRR6293976_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/006/SRR6293976/SRR6293976_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/006/SRR6293976/SRR6293976_2.fastq.gz		Forebrain_IBA_rep4
PRJNA418486	SAMN08028513	SRS2689265	SRX3395080	SRR6293977	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/007/SRR6293977/SRR6293977_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/007/SRR6293977/SRR6293977_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/007/SRR6293977/SRR6293977_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/007/SRR6293977/SRR6293977_2.fastq.gz		Forebrain_IBA_rep5
PRJNA418486	SAMN08028510	SRS2689288	SRX3395081	SRR6293978	43179	Ictidomys tridecemlineatus	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/008/SRR6293978/SRR6293978_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/008/SRR6293978/SRR6293978_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/008/SRR6293978/SRR6293978_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/008/SRR6293978/SRR6293978_2.fastq.gz		Hypothalamus_SA_rep1
PRJNA418486	SAMN08028509	SRS2689266	SRX3395082	SRR6293979	43179	Ictidomys tridecemlineatus	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/009/SRR6293979/SRR6293979_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/009/SRR6293979/SRR6293979_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/009/SRR6293979/SRR6293979_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/009/SRR6293979/SRR6293979_2.fastq.gz		Hypothalamus_SA_rep2
PRJNA418486	SAMN08028508	SRS2689267	SRX3395083	SRR6293980	43179	Ictidomys tridecemlineatus	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/000/SRR6293980/SRR6293980_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/000/SRR6293980/SRR6293980_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/000/SRR6293980/SRR6293980_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/000/SRR6293980/SRR6293980_2.fastq.gz		Hypothalamus_SA_rep3
PRJNA418486	SAMN08028507	SRS2689268	SRX3395084	SRR6293981	43179	Ictidomys tridecemlineatus	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/001/SRR6293981/SRR6293981_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/001/SRR6293981/SRR6293981_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/001/SRR6293981/SRR6293981_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/001/SRR6293981/SRR6293981_2.fastq.gz		Hypothalamus_SA_rep4
PRJNA418486	SAMN08028506	SRS2689269	SRX3395085	SRR6293982	43179	Ictidomys tridecemlineatus	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/002/SRR6293982/SRR6293982_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/002/SRR6293982/SRR6293982_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/002/SRR6293982/SRR6293982_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/002/SRR6293982/SRR6293982_2.fastq.gz		Hypothalamus_SA_rep5
PRJNA418486	SAMN08028505	SRS2689270	SRX3395086	SRR6293983	43179	Ictidomys tridecemlineatus	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/003/SRR6293983/SRR6293983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/003/SRR6293983/SRR6293983_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/003/SRR6293983/SRR6293983_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/003/SRR6293983/SRR6293983_2.fastq.gz		Hypothalamus_Ar_rep1
PRJNA418486	SAMN08028512	SRS2689272	SRX3395087	SRR6293984	43179	Ictidomys tridecemlineatus	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/004/SRR6293984/SRR6293984_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/004/SRR6293984/SRR6293984_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/004/SRR6293984/SRR6293984_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/004/SRR6293984/SRR6293984_2.fastq.gz		Hypothalamus_Ar_rep2
PRJNA418486	SAMN08028511	SRS2689271	SRX3395088	SRR6293985	43179	Ictidomys tridecemlineatus	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/005/SRR6293985/SRR6293985_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/005/SRR6293985/SRR6293985_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/005/SRR6293985/SRR6293985_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/005/SRR6293985/SRR6293985_2.fastq.gz		Hypothalamus_Ar_rep3
PRJNA418486	SAMN08028498	SRS2689274	SRX3395089	SRR6293986	43179	Ictidomys tridecemlineatus	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/006/SRR6293986/SRR6293986_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/006/SRR6293986/SRR6293986_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/006/SRR6293986/SRR6293986_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/006/SRR6293986/SRR6293986_2.fastq.gz		Hypothalamus_Ent_rep1
PRJNA418486	SAMN08028497	SRS2689273	SRX3395090	SRR6293987	43179	Ictidomys tridecemlineatus	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/007/SRR6293987/SRR6293987_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/007/SRR6293987/SRR6293987_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/007/SRR6293987/SRR6293987_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/007/SRR6293987/SRR6293987_2.fastq.gz		Hypothalamus_Ar_rep4
PRJNA418486	SAMN08028496	SRS2689276	SRX3395091	SRR6293988	43179	Ictidomys tridecemlineatus	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/008/SRR6293988/SRR6293988_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/008/SRR6293988/SRR6293988_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/008/SRR6293988/SRR6293988_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/008/SRR6293988/SRR6293988_2.fastq.gz		Hypothalamus_Ar_rep5
PRJNA418486	SAMN08028581	SRS2689275	SRX3395092	SRR6293989	43179	Ictidomys tridecemlineatus	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/009/SRR6293989/SRR6293989_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/009/SRR6293989/SRR6293989_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/009/SRR6293989/SRR6293989_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/009/SRR6293989/SRR6293989_2.fastq.gz		Hypothalamus_Ent_rep2
PRJNA418486	SAMN08028580	SRS2689277	SRX3395093	SRR6293990	43179	Ictidomys tridecemlineatus	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/000/SRR6293990/SRR6293990_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/000/SRR6293990/SRR6293990_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/000/SRR6293990/SRR6293990_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/000/SRR6293990/SRR6293990_2.fastq.gz		Hypothalamus_Ent_rep3
PRJNA418486	SAMN08028579	SRS2689278	SRX3395094	SRR6293991	43179	Ictidomys tridecemlineatus	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/001/SRR6293991/SRR6293991_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/001/SRR6293991/SRR6293991_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/001/SRR6293991/SRR6293991_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/001/SRR6293991/SRR6293991_2.fastq.gz		Hypothalamus_LT_rep1
